ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10GC001,2,8,2013,6.024,,5.496,,5.075,,5.020,,7.313,,7.799,,6.583,,5.905,,5.388,,5.095,,4.040,,6.139,,5.828
10GC001,2,8,2014,5.429,,4.821,,4.421,,4.448,,,,7.140,,6.523,,4.956,,4.490,,4.360,,,,,,
10GC001,2,8,2015,,,,,,,,,,,5.873,,5.158,,5.029,,4.588,,4.366,,3.434,,4.859,,
10GC001,2,8,2016,4.253,,3.814,,3.695,,4.208,,6.132,,6.678,,6.039,,,,5.615,,4.817,,3.917,,4.698,,
10GC001,2,8,2017,4.541,,4.193,,4.108,,4.680,,6.796,,7.192,,6.879,,5.495,,4.776,,4.605,,,,5.882,,
10GC001,2,8,2018,5.817,,5.487,,,,,,,,6.623,,6.429,,5.254,,4.722,,4.251,,,,,,
10GC001,2,8,2019,5.654,,5.157,,4.763,,6.479,,,,6.047,,5.505,,5.154,,4.986,,4.731,,,,5.671,,
10GC001,2,8,2020,5.158,,4.876,,4.708,,4.877,,7.143,,8.431,,8.246,,7.745,,7.380,,6.184,,5.028,,8.590,,6.541
10GC001,2,8,2021,,,8.116,,,,7.585,,,,8.681,,7.725,,6.851,,6.314,,5.568,,,,,,
10GC001,2,8,2022,5.469,,4.943,,,,4.891,,,,9.295,,,,6.296,,5.219,,4.746,,3.634,,5.984,,
10GC001,2,8,2023,5.289,,4.770,,4.404,,4.614,,,,5.714,,5.233,,,,,,3.857,,2.931,,3.838,,
10LC021,2,8,2011,8.841,,9.034,,9.132,,9.252,,9.474,,9.008,,8.831,,8.783,,8.710,,8.621,,8.750,,8.851,,8.940
10LC021,2,8,2012,9.075,,9.279,,9.402,,9.518,,9.692,,9.219,,8.857,,8.992,,8.939,,8.980,,,,,,
10LC021,2,8,2013,,,,,,,9.562,,9.731,,9.380,,8.910,,8.891,,8.824,,8.773,,8.929,,8.843,,
10LC021,2,8,2014,9.112,,9.271,,9.398,,,,,,,,,,8.751,,8.822,,8.808,,8.592,,8.857,,
10LC021,2,8,2015,9.137,,9.357,,9.498,,9.584,,9.512,,8.856,,8.767,,8.859,,8.858,,,,8.811,,8.873,,
10LC021,2,8,2016,9.048,,9.121,,9.252,,9.333,,9.586,,8.987,,9.050,,8.891,,9.095,,8.862,,8.824,,8.892,,9.078
10LC021,2,8,2017,9.077,,9.171,,9.270,,9.376,,9.619,,9.102,,8.998,,8.955,,8.841,,8.857,,8.806,,8.698,,9.064
10KA001,1,1,2011,3480,,3180,,2970,,3330,,13000,,16400,,15400,,13400,,10900,,8950,,4300,,4290,,8340
10KA001,1,1,2012,4140,,3530,,3330,,3720,,14200,,22800,,14500,,11000,,10400,,8300,,4130,,3860,,8670
10KA001,1,1,2013,4100,,3830,,3770,,3890,,12700,,19700,,14900,,12500,,10700,,9480,,5480,,3700,,8750
10KA001,1,1,2014,3660,,3410,,3430,,3670,,12700,,15900,,14500,,10100,,8160,,7590,,3970,,3470,,7580
10KA001,1,1,2015,3490,,3370,,3230,,3780,,14100,,12900,,11200,,11100,,9770,,8190,,4760,,3270,,7450
10KA001,1,1,2016,3330,,3250,,3190,,3540,,13700,,15100,,13400,,9940,,10900,,8310,,4060,,2970,,7650
10KA001,1,1,2017,3880,,3910,,3780,,4170,,12200,,17200,,16300,,11600,,9240,,7390,,4370,,3620,,8170
10KA001,1,1,2018,3780,,3690,,3610,,3680,,13400,,14400,,15000,,10500,,8470,,6830,,4040,,3110,,7570
10KA001,1,1,2019,3510,,3360,,3180,,4560,,9060,,13600,,11300,,10200,,9450,,8100,,4060,,3520,,7010
10KA001,1,1,2020,3310,,3190,,3160,,3310,,13300,,23400,,22500,,19800,,17800,,12400,,7620,,4690,,11200
10KA001,1,1,2021,5460,,5420,,5400,,5710,,16100,,22700,,18900,,15500,,13500,,10800,,7550,,3740,,10900
10KA001,1,1,2022,3870,,3770,,3650,,3550,,17900,,26800,,19300,,13400,,9910,,8270,,4610,,3700,,9930
10KA001,1,1,2023,3620,,3340,,3230,,3450,,12400,,13000,,10900,,9180,,7230,,6550,,4500,,3510,,6770
10KA001,2,8,2011,5.194,,4.972,,4.791,,4.769,,6.524,,5.945,,5.743,,5.360,,4.826,,4.361,,4.849,,5.618,,5.250
10KA001,2,8,2012,5.369,,4.902,,4.607,,4.627,,8.080,,6.991,,5.564,,4.849,,4.708,,4.307,,4.920,,5.371,,5.361
10KA001,2,8,2013,5.315,,4.954,,4.747,,4.726,,6.773,,6.532,,5.648,,5.162,,4.779,,4.482,,4.366,,5.109,,5.220
10KA001,2,8,2014,4.869,,4.523,,4.353,,,,6.192,,5.856,,5.569,,4.641,,4.138,,4.008,,4.781,,5.286,,
